siren,adresse_ligne1,adresse_ligne2,adresse_ligne3,adress_nettoyee,adresse_regex
809768468,,7 - 9 rue de Troyes,, 7   9 RUE DE TROYES ,TROYES$
384111324,,Z I N 3 Espace Victor Hugo,, Z I N 3 ESPACE VICTOR HUGO ,ESPACE$|VICTOR$|HUGO$
812108074,1 Avenue de la Reine Anne,,,1 AVENUE DE LA REINE ANNE  ,REINE$|ANNE$
329998728,,Camping la Fontaine aux Fées,, CAMPING LA FONTAINE AUX FEES ,CAMPING$|FONTAINE$|FEES$
403341183,35 bis rue des Hautes Marchés,,,35 BIS RUE DES HAUTES MARCHES  ,HAUTES$|MARCHES$
444229702,,VAUGUIERES LE BAS,, VAUGUIERES LE BAS ,VAUGUIERES$|BAS$
312287188,,,,  ,
833328958,5  Tihouit,,,5  TIHOUIT  ,TIHOUIT$
356000000,,7035 Village Village le Village,, 7035 VILLAGE VILLAGE LE VILLAGE ,
508082815,32 boulevard de Strasbourg,,,32 BOULEVARD DE STRASBOURG  ,STRASBOURG$
479078909,,,Z.A. de la Gare,  Z A  DE LA GARE,GARE$
390831527,15 Rue DE VANVES,,,15 RUE DE VANVES  ,VANVES$
492082649,,217 Chemin DE LA GARRIGUES,, 217 CHEMIN DE LA GARRIGUES ,GARRIGUES$
317144863,7 Boulevard DE LA LIBERTE, 7 BOULEVARD DE LA LIBERTE,,7 BOULEVARD DE LA LIBERTE  7 BOULEVARD DE LA LIBERTE ,LIBERTE$|LIBERTE$
878392562,,7 Chemin Jousset,, 7 CHEMIN JOUSSET ,JOUSSET$
387673577,,18 LOT. SEMELIOUM,CASTETS DES LANDES, 18 LOT  SEMELIOUM CASTETS DES LANDES,LOT$|SEMELIOUM$|CASTETS$|LANDES$
812575405,1 rue Saint Exupéry,,,1 RUE SAINT EXUPERY  ,SAINT$|EXUPERY$
848171500,19 Avenue de la Résistance,,,19 AVENUE DE LA RESISTANCE  ,RESISTANCE$
880169842,20 avenue de Wagram,,,20 AVENUE DE WAGRAM  ,WAGRAM$
487806390,101-109 Rue Jean Jaurès,,,101 109 RUE JEAN JAURES  ,JEAN$|JAURES$
528759129,59 Avenue Carnot,,,59 AVENUE CARNOT  ,CARNOT$
775739667,,LE BARREAU,, LE BARREAU ,BARREAU$
833847973,5 Rue Des Graviers,,,5 RUE DES GRAVIERS  ,GRAVIERS$
444624324,49 Route Nationale,,,49 ROUTE NATIONALE  ,NATIONALE$
301820411,,82 Route de Bayonne,, 82 ROUTE DE BAYONNE ,BAYONNE$
378823736,  KUPKA B -,,LA DEFENSE 7 -,  KUPKA B    LA DEFENSE 7  ,KUPKA$|DEFENSE$
419252929,  Z I de Plagué,,,  Z I DE PLAGUE  ,PLAGUE$
842714545,,2 place du Général Leclerc,, 2 PLACE DU GENERAL LECLERC ,GENERAL$|LECLERC$
433999356,14 Avenue Victor Hugo,,Résidence Turenne,14 AVENUE VICTOR HUGO  RESIDENCE TURENNE,VICTOR$|HUGO$|TURENNE$
437817349,  Leyssartade ,,,  LEYSSARTADE   ,LEYSSARTADE$
841623887,106 Rue Abdelmalek Sayad,,,106 RUE ABDELMALEK SAYAD  ,ABDELMALEK$|SAYAD$
812804797,19 Rue Pablo Neruda,,,19 RUE PABLO NERUDA  ,PABLO$|NERUDA$
834758310,,3 Rond Point du Parc des Sports,, 3 ROND POINT DU PARC DES SPORTS ,ROND$|POINT$|PARC$|SPORTS$
831520010,  Les Forges,,,  LES FORGES  ,FORGES$
435093471,,"""LE PRE DE FOIRE""",,  LE PRE DE FOIRE  ,PRE$|FOIRE$
824874788,14 Rue du Capitaine Alfred Dreyfus,,,14 RUE DU CAPITAINE ALFRED DREYFUS  ,CAPITAINE$|ALFRED$|DREYFUS$
797525276,18 Avenue Alphand,,,18 AVENUE ALPHAND  ,ALPHAND$
484678727,,86 Rue MARÉCHAL FOCH,, 86 RUE MARECHAL FOCH ,MARECHAL$|FOCH$
488038100, Place du Vert Buisson,,, PLACE DU VERT BUISSON  ,VERT$|BUISSON$
818722282,,Route Nationale 7,Route des Blaches, ROUTE NATIONALE 7 ROUTE DES BLACHES,NATIONALE$|BLACHES$
841765134,6 Place Alejo Carpentier,,,6 PLACE ALEJO CARPENTIER  ,ALEJO$|CARPENTIER$
441222080,,LES BERLIERES,, LES BERLIERES ,BERLIERES$
840360176,16 Rue Richard Gardebled,,,16 RUE RICHARD GARDEBLED  ,RICHARD$|GARDEBLED$
356000000,,15 boulevard Alsace-lorraine,, 15 BOULEVARD ALSACE LORRAINE ,ALSACE$|LORRAINE$
453255184,555 Avenue Aristide Briand, les Olympiades Ent D,,555 AVENUE ARISTIDE BRIAND  LES OLYMPIADES ENT D ,ARISTIDE$|BRIAND$|OLYMPIADES$|ENT$
789684628,,1 rue Violaine,, 1 RUE VIOLAINE ,VIOLAINE$
539448498,,5 rue Gaillard,, 5 RUE GAILLARD ,GAILLARD$
833421191,58 Avenue Emmanuel Allard, La Pomme,,58 AVENUE EMMANUEL ALLARD  LA POMME ,EMMANUEL$|ALLARD$|POMME$
379715808,,5 rue de Porzh Ginan,, 5 RUE DE PORZH GINAN ,PORZH$|GINAN$
325271948,,5 Rue de Pouilly,, 5 RUE DE POUILLY ,POUILLY$
527874051,48 rue Eugène Oudiné,,,48 RUE EUGENE OUDINE  ,EUGENE$|OUDINE$
840844641,10 Avenue du Général de Gaulle,,,10 AVENUE DU GENERAL DE GAULLE  ,GENERAL$|GAULLE$
320914575,  GRAND RUE,,,  GRAND RUE  ,GRAND$
453641938,,2 BIS Rue Cart,, 2 BIS RUE CART ,CART$
528702764,,37 RUE des Quatre Coins,, 37 RUE DES QUATRE COINS ,QUATRE$|COINS$
819671777,,45 Boulevard des Canuts,, 45 BOULEVARD DES CANUTS ,CANUTS$
417649183,,12 rue Brémontier,, 12 RUE BREMONTIER ,BREMONTIER$
306847120,,38 Rue DE CASSEL,, 38 RUE DE CASSEL ,CASSEL$
822843728,,Lieu-dit les Vergers,, LIEU DIT LES VERGERS ,LIEU$|DIT$|VERGERS$
338669393,1 rue de l'Industrie,,,1 RUE DE L INDUSTRIE  ,INDUSTRIE$
421935453,10 Traverse DE LA GAYE, RESIDENCE CHATEAU SEC ,BAT SOLEIL,10 TRAVERSE DE LA GAYE  RESIDENCE CHATEAU SEC  BAT SOLEIL,GAYE$|CHATEAU$|SEC$|BAT$|SOLEIL$
809893308,,56 avenue de la République,, 56 AVENUE DE LA REPUBLIQUE ,REPUBLIQUE$
441620200,,185 Allée des Cyprès,, 185 ALLEE DES CYPRES ,ALLEE$|CYPRES$
833315864,,180 Rue Saint Pierre,, 180 RUE SAINT PIERRE ,SAINT$|PIERRE$
830396131,109 rue du Bac,,,109 RUE DU BAC  ,BAC$
832233001,54 avenue Félix Faure,,,54 AVENUE FELIX FAURE  ,FELIX$|FAURE$
303536502,36 rue Jean Jaures,,,36 RUE JEAN JAURES  ,JEAN$|JAURES$
844156497,,rue du Chat Noir,42/44 boulevard Industriel, RUE DU CHAT NOIR 42 44 BOULEVARD INDUSTRIEL,CHAT$|NOIR$|INDUSTRIEL$
778399618,,Lieu-dit Froidefontaine,, LIEU DIT FROIDEFONTAINE ,LIEU$|DIT$|FROIDEFONTAINE$
342182888,  LES GENDRES,,,  LES GENDRES  ,GENDRES$
492803358,4 place de la Garenne,,,4 PLACE DE LA GARENNE  ,GARENNE$
838395218,38 rue de la Liberté,,,38 RUE DE LA LIBERTE  ,LIBERTE$
534602859,,22 Boulevard Maréchal Foch,, 22 BOULEVARD MARECHAL FOCH ,MARECHAL$|FOCH$
827863697,,291 Rue Albert Caquot,Sophia-Antipolis, 291 RUE ALBERT CAQUOT SOPHIA ANTIPOLIS,ALBERT$|CAQUOT$|SOPHIA$|ANTIPOLIS$
340089440,,Montgalmand,, MONTGALMAND ,MONTGALMAND$
434347100,"Immeuble""Empreinte""",30 Quai Perrache,,IMMEUBLE EMPREINTE  30 QUAI PERRACHE ,IMMEUBLE$|EMPREINTE$|PERRACHE$
340144385,,Place de la Gare,, PLACE DE LA GARE ,GARE$
831628151,,287 rue Jupiter,A 2105, 287 RUE JUPITER A 2105,JUPITER$
483831087,53 Avenue Des lys,,,53 AVENUE DES LYS  ,LYS$
810229179,,4 Boulevard Rocca,, 4 BOULEVARD ROCCA ,ROCCA$
528498520,242 Boulevard de la Madeleine,,,242 BOULEVARD DE LA MADELEINE  ,MADELEINE$
841120330,,7 Boulevard de la Rocade,, 7 BOULEVARD DE LA ROCADE ,
348316571,,189 avenue Georges Nuttin,ZI Cambrai Sud, 189 AVENUE GEORGES NUTTIN ZI CAMBRAI SUD,GEORGES$|NUTTIN$|ZI$|CAMBRAI$|SUD$
394400089,32 Allée DE LA SACLETTERIE,,CHEVRY 2,32 ALLEE DE LA SACLETTERIE  CHEVRY 2,ALLEE$|SACLETTERIE$|CHEVRY$
395129802,,LIEU DIT MUZAC,SARRAZAC - MARTEL, LIEU DIT MUZAC SARRAZAC   MARTEL,LIEU$|DIT$|MUZAC$|SARRAZAC$|MARTEL$
844789404,,1 boulevard Théophile Roussel,, 1 BOULEVARD THEOPHILE ROUSSEL ,THEOPHILE$|ROUSSEL$
830940524,39 avenue George V,,,39 AVENUE GEORGE V  ,GEORGE$
838511889,,Lieu dit Ortonone,Ponte-Leccia, LIEU DIT ORTONONE PONTE LECCIA,LIEU$|DIT$|ORTONONE$|PONTE$|LECCIA$
877601351,41 avenue George V,,,41 AVENUE GEORGE V  ,GEORGE$
500325550, Rue Pierre et Marie Curie,,, RUE PIERRE ET MARIE CURIE  ,PIERRE$|MARIE$|CURIE$
453474165,6-8 rue Léon Trulin,,,6 8 RUE LEON TRULIN  ,LEON$|TRULIN$
414886226,12 Place des Etats Unis, CS 70052,,12 PLACE DES ETATS UNIS  CS 70052 ,ETATS$|UNIS$|CS$
833265424,17 Avenue des Fleurs,,,17 AVENUE DES FLEURS  ,FLEURS$
800609141,57 boulevard Richard Lenoir,,,57 BOULEVARD RICHARD LENOIR  ,RICHARD$|LENOIR$
324461250,,4 rue du Général Bradley,, 4 RUE DU GENERAL BRADLEY ,GENERAL$|BRADLEY$
811519040,11 Rue du Rouge Gorge,,,11 RUE DU ROUGE GORGE  ,ROUGE$|GORGE$
838721579,133 Rue Sainte Catherine,,,133 RUE SAINTE CATHERINE  ,SAINTE$|CATHERINE$
383317898,,72/74 RUE MARY LAFON,, 72 74 RUE MARY LAFON ,MARY$|LAFON$
508447265,rue des Primevères,,,RUE DES PRIMEVERES  ,PRIMEVERES$
830937090,17 Rue Georges Stephenson,,,17 RUE GEORGES STEPHENSON  ,GEORGES$|STEPHENSON$
350701447, Route DE SORQUES,,, ROUTE DE SORQUES  ,SORQUES$
851241703,,Domaine de Roque Argentière,, DOMAINE DE ROQUE ARGENTIERE ,ROQUE$|ARGENTIERE$
811047950,16 boulevard Saint-Germain,CS 70514,,16 BOULEVARD SAINT GERMAIN CS 70514 ,SAINT$|GERMAIN$|CS$
482162583,,80 RUE DE BELLEVUE,, 80 RUE DE BELLEVUE ,BELLEVUE$
844689323,,2 Rue Buffon,, 2 RUE BUFFON ,BUFFON$
810524207, Parc d'Activité de la Corderie, Atelia 3,, PARC D ACTIVITE DE LA CORDERIE  ATELIA 3 ,PARC$|ACTIVITE$|CORDERIE$|ATELIA$
795193523,,4 route de l'Eglise,Bosguerard-de-Marcouville, 4 ROUTE DE L EGLISE BOSGUERARD DE MARCOUVILLE,EGLISE$|BOSGUERARD$|MARCOUVILLE$
438599276,,26-28 PL. DES HALLES,, 26 28 PL  DES HALLES ,PL$|HALLES$
502523277,78 rue de Rivoli,,,78 RUE DE RIVOLI  ,RIVOLI$
500552260,18 Avenue d'Aquitaine,,,18 AVENUE D AQUITAINE  ,AQUITAINE$
304831084,,20 rue Larivey,, 20 RUE LARIVEY ,LARIVEY$
849458757,11 avenue Delcassé,,,11 AVENUE DELCASSE  ,DELCASSE$
330357286,chez mr Patrick Ernest,,,CHEZ MR PATRICK ERNEST  ,CHEZ$|MR$|PATRICK$|ERNEST$
439102617,,75 rue de Fontsèche,, 75 RUE DE FONTSECHE ,FONTSECHE$
752827873,22 Rue Franklin,,,22 RUE FRANKLIN  ,FRANKLIN$
828237065,,13 Allée des Roses,, 13 ALLEE DES ROSES ,ALLEE$|ROSES$
844575944,12 Place des Etats-Unis, CS 70052,,12 PLACE DES ETATS UNIS  CS 70052 ,ETATS$|UNIS$|CS$
838930378,,2 E avenue de l'Ouche,, 2 E AVENUE DE L OUCHE ,OUCHE$
822894499,112 rue Lecourbe,,,112 RUE LECOURBE  ,LECOURBE$
381040757,,50 Rue des Vingt Toises,, 50 RUE DES VINGT TOISES ,VINGT$|TOISES$
348369224,ES  , RUE CHARLES FOURRIER LES EPINETT,,ES    RUE CHARLES FOURRIER LES EPINETT ,CHARLES$|FOURRIER$|EPINETT$
809721046,3 Quai de la Brise, Apt 2103,,3 QUAI DE LA BRISE  APT 2103 ,BRISE$|APT$
844112839,,105 Rue des Mourettes,, 105 RUE DES MOURETTES ,MOURETTES$
498663889,103 boulevard Mac donald,,,103 BOULEVARD MAC DONALD  ,MAC$|DONALD$
515272185,46 Rue de Stalingrad,,,46 RUE DE STALINGRAD  ,STALINGRAD$
850607615,21 Rue Sainte Sophie,,,21 RUE SAINTE SOPHIE  ,SAINTE$|SOPHIE$
841882657,1 Rue de la Gare,,,1 RUE DE LA GARE  ,GARE$
833362494,,22B Hameau du Belvédère,, 22B HAMEAU DU BELVEDERE ,BELVEDERE$
393636295,,212 Cours du Temple,, 212 COURS DU TEMPLE ,TEMPLE$
382262707,,rue Paul Saint-Martin,, RUE PAUL SAINT MARTIN ,PAUL$|SAINT$|MARTIN$
852110220,,18 bis rue de Brémond d'Ars,, 18 BIS RUE DE BREMOND D ARS ,BREMOND$|ARS$
811720010,,5 rue Henri Marc,, 5 RUE HENRI MARC ,HENRI$|MARC$
841700818,36 rue des Cinq Diamants,,,36 RUE DES CINQ DIAMANTS  ,CINQ$|DIAMANTS$
306159294,,24 Boulevard GENERAL DE GAULLE,, 24 BOULEVARD GENERAL DE GAULLE ,GENERAL$|GAULLE$
839061488,5 ruelle des Etoupes,,,5 RUELLE DES ETOUPES  ,ETOUPES$
522149566,,5 Place Antonin Poncet,, 5 PLACE ANTONIN PONCET ,ANTONIN$|PONCET$
834859894,  127 AVENUE CHARLES DE GAULLE,,,  127 AVENUE CHARLES DE GAULLE  ,CHARLES$|GAULLE$
529633604,,486 Chemin du Lombardon,Le Bois-d'Oingt, 486 CHEMIN DU LOMBARDON LE BOIS D OINGT,LOMBARDON$|BOIS$|OINGT$
791640113,,6 route d'Hennebont,, 6 ROUTE D HENNEBONT ,HENNEBONT$
390452415,,VERS LA TOUR - AYZE,, VERS LA TOUR   AYZE ,VERS$|TOUR$|AYZE$
807445366,43 Avenue Pierre Abelin,,,43 AVENUE PIERRE ABELIN  ,PIERRE$|ABELIN$
421802257,,RTE HAUTE DE FARROU,, RTE HAUTE DE FARROU ,RTE$|HAUTE$|FARROU$
320425861,,LES MAISONNETTES,AMBERIEUX EN DOMBES, LES MAISONNETTES AMBERIEUX EN DOMBES,MAISONNETTES$|AMBERIEUX$|DOMBES$
434069050,286 boulevard Victor Hugo,,,286 BOULEVARD VICTOR HUGO  ,VICTOR$|HUGO$
824145833,4 place de la Poste,,,4 PLACE DE LA POSTE  ,POSTE$
851512137,17B Route de Pujeau,,,17B ROUTE DE PUJEAU  ,PUJEAU$
808812432,,430 Avenue de Fronton,, 430 AVENUE DE FRONTON ,FRONTON$
341620177,,27 RUE SAINT ANDRE,, 27 RUE SAINT ANDRE ,SAINT$|ANDRE$
841522642,,49 rue de la Constituante,, 49 RUE DE LA CONSTITUANTE ,CONSTITUANTE$
804514891,,2 Rue d'Austerlitz,, 2 RUE D AUSTERLITZ ,AUSTERLITZ$
832545958,37 boulevard Quinault,,,37 BOULEVARD QUINAULT  ,QUINAULT$
518406095,,18 Rue De la Morliere,, 18 RUE DE LA MORLIERE ,MORLIERE$
791122930,,Quartier des Pinchinats,les Chais de la Mignarde, QUARTIER DES PINCHINATS LES CHAIS DE LA MIGNARDE,PINCHINATS$|CHAIS$|MIGNARDE$
489894121,86 Rue Paul vaillant couturier,,,86 RUE PAUL VAILLANT COUTURIER  ,PAUL$|VAILLANT$|COUTURIER$
488469123, Rue de l'industrie, Chez DECORAL,, RUE DE L INDUSTRIE  CHEZ DECORAL ,INDUSTRIE$|CHEZ$|DECORAL$
848560520,8 Impasse Saint Georges,,,8 IMPASSE SAINT GEORGES  ,SAINT$|GEORGES$
512463910,161 Rue des Pourtours,,,161 RUE DES POURTOURS  ,POURTOURS$
831896451,160 Avenue Paul Vaillant,,,160 AVENUE PAUL VAILLANT  ,PAUL$|VAILLANT$
828618355,2 Rue des Ormes,,,2 RUE DES ORMES  ,ORMES$
788543940,1 Rue Jean Zay,,,1 RUE JEAN ZAY  ,JEAN$|ZAY$
810637322,62 boulevard de Courcelles,,,62 BOULEVARD DE COURCELLES  ,COURCELLES$
494450984,880 Chemin Du haut,,,880 CHEMIN DU HAUT  ,HAUT$
447541244,6 Rue GEORGES POMPIDOU,,,6 RUE GEORGES POMPIDOU  ,GEORGES$|POMPIDOU$
